Date_Range,Metric,Value,Percentage,Notes
2025-06-21 to 2025-06-27,Total_Page_Views,74,100,Complete data available
2025-06-21 to 2025-06-27,Main_Page_Views,72,97.3,Primary landing page
2025-06-21 to 2025-06-27,Download_Page_Views,2,2.7,Low conversion rate
2025-06-21 to 2025-06-27,Active_Users,17,100,Total unique users
2025-06-21 to 2025-06-27,US_Users,15,88.2,Dominant market
2025-06-21 to 2025-06-27,Sweden_Users,2,11.8,Secondary market
2025-06-21 to 2025-06-27,China_Users,0,0,No activity
2025-06-21 to 2025-06-27,Total_Sessions,31,100,All traffic sessions
2025-06-21 to 2025-06-27,Direct_Sessions,20,64.5,Strong brand recognition
2025-06-21 to 2025-06-27,Social_Sessions,8,25.8,Good social media presence
2025-06-21 to 2025-06-27,Search_Sessions,3,9.7,SEO opportunity
2025-06-21 to 2025-06-27,Conversion_Rate,2.8,2.8,Main to download page
